ID	env	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
W129	2013HN	19.53333333	8	10	8.8	2.65	6	3.166666667	12.00390625
W281	2013HN	18.8	8.666666667	8	8.166666667	2	5.333333333	2.5	30.22222222
W045	2013HN	17.9	5.333333333	7.666666667	6.54	2.2	4.8	2.6	34.93333333
C089	2013HN	19.16666667	6.333333333	10	7.55	2.233333333	4.666666667	3.333333333	35.25454545
W282	2013HN	15.2	NA	NA	NA	NA	NA	NA	35.98076923
C036	2013HN	16.1	7	10	7.266666667	1.583333333	5.5	1.5	37.08333333
W280	2013HN	16.66666667	8	14	8.433333333	2.633333333	5.166666667	3.666666667	37.81818182
W059	2013HN	16.2	6.666666667	8.666666667	6.9	2.183333333	5	3.333333333	38.18181818
W328	2013HN	21.23333333	7.333333333	7.333333333	7.233333333	2.45	5.666666667	2.833333333	39.77272727
C064	2013HN	13.23333333	7.333333333	9.333333333	5.85	1.583333333	5.333333333	2.833333333	41.25925926
C100	2013HN	19.5	5.333333333	14.33333333	9.35	3.433333333	4.833333333	4	41.82352941
C114	2013HN	16.16666667	7	13.66666667	7.533333333	2.266666667	5.5	2.666666667	42.78571429
C150	2013HN	13.8	9.666666667	15.66666667	5.833333333	1.616666667	6	3.5	42.89285714
W246	2013HN	17.96666667	5.666666667	11	8.716666667	2.633333333	6	3.666666667	43
W130	2013HN	17.06666667	6.666666667	11.33333333	8.266666667	2.35	5.166666667	2.833333333	44.33333333
C075	2013HN	17.4	11.66666667	19.66666667	7.066666667	1.666666667	5.833333333	2.666666667	45.16666667
C054	2013HN	13	8.666666667	12	5.733333333	1.8	5.5	3	45.31578947
W016	2013HN	15.03333333	6.666666667	11.66666667	7.833333333	2.85	5.333333333	3.833333333	45.72727273
C018	2013HN	14.23333333	5.666666667	9	6.083333333	1.633333333	5.833333333	3	45.89285714
W106	2013HN	18.03333333	7.666666667	15.33333333	8.533333333	2.933333333	4.166666667	3.5	46.42105263
C129	2013HN	19.13333333	6.666666667	12.33333333	8.283333333	2.733333333	5.833333333	3.666666667	47.25
W063	2013HN	19.86666667	7.333333333	12	8.3	2.2	5.666666667	3	47.28571429
C035	2013HN	18.76666667	13.33333333	5.666666667	6.766666667	0.95	5.833333333	1.666666667	48.02631579
W272	2013HN	17.63333333	6.333333333	10.33333333	8.033333333	2.266666667	5.666666667	3.333333333	48.36666667
W305	2013HN	14.56666667	9.333333333	10.66666667	5.95	1.35	5.666666667	2.666666667	49.7
C099	2013HN	17.96666667	7	8.666666667	7.016666667	2.1	5.833333333	2.833333333	49.82352941
C016	2013HN	12.76666667	5	12.66666667	8.083333333	2.833333333	5.166666667	4.166666667	49.875
C154	2013HN	12.26666667	5.333333333	16.66666667	7.18	2.32	4.6	4	51.0952381
C071	2013HN	16.03333333	8	11.33333333	6.65	2.266666667	5.5	3.333333333	51.15384615
C120	2013HN	16.4	9.333333333	18.66666667	9.1	2.35	5.5	4	51.32758621
W316	2013HN	19.16666667	6.333333333	9.666666667	9.633333333	2.7	6	3	51.82352941
C013	2013HN	17.26666667	5	15	8.633333333	2.333333333	5	4.666666667	51.95454545
C146	2013HN	16.2	8	12.66666667	7.483333333	2.133333333	5.333333333	3	52.86666667
C117	2013HN	15.25	6.5	16	9.35	2.95	4.833333333	3.5	53.28571429
W261	2013HN	20.16666667	6.666666667	13.66666667	9.9	2.466666667	5.5	2.333333333	54.04166667
W088	2013HN	15.46666667	8.666666667	14	7.283333333	2.216666667	6	3.666666667	54.09090909
W056	2013HN	15.73333333	9.666666667	21	6.7	1.883333333	5.5	3.5	54.71428571
C097	2013HN	20.5	7	15.33333333	8.883333333	2.766666667	4.666666667	3	55.16129032
C096	2013HN	17.76666667	6.666666667	6	7.916666667	2.3	5.5	2.833333333	55.96153846
C159	2013HN	18.53333333	7.666666667	14	9.533333333	2.6	6	2.666666667	57
W162	2013HN	15.26666667	11.66666667	11.66666667	5.116666667	1.516666667	5.333333333	2.333333333	57.05263158
W226	2013HN	19.33333333	10	18.33333333	9.066666667	2.15	6	3	57.14545455
W326	2013HN	25.36666667	5.333333333	11.66666667	10.13333333	2.916666667	5.333333333	3.5	57.41666667
W115	2013HN	19.9	6.333333333	16	8.65	2.516666667	5	2.833333333	57.63157895
C034	2013HN	18.9	8	12.33333333	8.716666667	2.333333333	5.333333333	3	57.71428571
W038	2013HN	19.86666667	9	15	8.383333333	1.75	5.833333333	3	58
C055	2013HN	17.06666667	6.333333333	9	8.8	2.75	5.666666667	3.833333333	58.04166667
C192	2013HN	17.5	6.666666667	22.33333333	8.966666667	3.533333333	4.833333333	4.333333333	58.37142857
